,Brand,CPU,Graphics,RAM,Display,Storage,Battery,Camera,Weight,Price,Type
41,Dell,10th Generation Intel Core i7-10750H,NVIDIA GeForce RTX 2070 SUPER with 8GB GDDR6 VRAM,16GB DDR4 3200Mhz,"15.6"" Full-HD (1920 x 1080 pixels) 300Hz refresh rate, 3ms response time, 300-nits brightness, 100% sRGB color gamut",512GB SSD,"

Lithium-Ion, 6-cell


",Alienware HD (1280 x 720 pixels resolution) camera with dual-array integrated microphones,2.11Kg,210000,Normal
42,Dell,"12th Gen Intel Core i7-12700H (24 MB cache, 14 cores, 20 threads, up to 4.70 GHz Turbo)","NVIDIA® GeForce RTX™ 3060, 6 GB GDDR6","16 GB, 2 x 8 GB, DDR5, 4800 MHz, dual-channel","
15.6-inch IPS display, Full-HD (1920 x 1080 pixels) resolution, 120Hz refresh rate, WVA, Non-Touch, Anti-Glare, 250 nits brightness, Narrow Border, LED-Backlit
","512 GB, M.2, PCIe, SSD","6-Cell Battery, 86WHr (Integrated)",720p,2.672 KG,215000,Normal
43,Dell,"12th Gen Intel® Core™ i7-1250U (12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo)",Intel® Iris® Xe Graphics,"16 GB, LPDDR5, 5200 MHz, integrated, dual-channel","
13.4"", FHD+ 1920 x 1200, 60Hz, Non-Touch, Anti-Glare, 500 nit, InfinityEdge
",512GB SSD,"3 Cell, 51 Wh, integrated","720p at 30 fps HD RGB camera, 400p at 30 fps IR camera, dual-array microphones",1.17 kg,215200,Normal
44,Dell,"10th Generation Intel® Core™ i7-10750H (12MB Cache, up to 5.0 GHz, 6 cores)z",NVIDIA® GeForce® GTX 1650ti 4GB GDDR6,16GB DDR4-2666MHz,"15.6"" FHD+ (1920 x 1200) InfinityEdge Non-Touch Anti-Glare 500-Nit Display",1TB PCIe Solid State Drive,"86 Wh Lithium-Ion, six cells",720p,"21.83kg – with 86 WHr battery, SSD",255000,Normal
45,Dell,"11th Generation Intel® Core™ i7-1185G7 Processor (12MB Cache, up to 4.8 GHz)",Intel® Iris Xe Graphics,"16 GB, LPDDR4x, 4267 MHz, integrated, dual channel","13.4"" OLED 3.5K (3456 x 2160) InfinityEdge Touch Anti-Reflective 400-Nit Display",512GB PCIe Solid State Drive,"4-Cell, 52 WHr, Integrated battery",Widescreen HD (720p) 2.25mm webcam,Starting at 2.64 lb (1.2 kg),255000,Normal
46,Dell,"12th Gen Intel® Core™ i7-1260P (18 MB cache, 12 cores, 16 threads, up to 4.70 GHz Turbo)",Intel® Iris® Xe Graphics,"16 GB, LPDDR5, 5200 MHz, integrated, dual-channel","
13.4"", FHD+ 1920 x 1200, 60Hz, Touch, Anti-Glare, 500 nit, InfinityEdge
",512GB SSD,"3 Cell, 55 Wh, integrated","720p at 30 fps HD RGB camera, 400p at 30 fps IR camera, dual-array microphones",1.23 kg,288400,Normal
47,Dell,"11th Gen Intel Core i7-11800H; 8 core, 16 Threads ",Nvidia Geforce RTX 3070 8GB GDDR6,32GB,"15.6-inch Quad-HD (2560 x 1440 pixels), 240Hz refresh rate, Non-Touch, 2ms response time, Advanced Optimus, NVIDIA G-SYNC",1TB SSD,,720p,1.65kg,330000,Normal
48,Lenovo,"
Intel Celeron 6305 (2C / 2T, 1.8GHz, 4MB)
","
Integrated Intel UHD Graphics
","
4GB Soldered DDR4-2933
","
15.6"" FHD (1920x1080) IPS 250nits Anti-glare
","
256GB SSD M.2 2242 PCIe 3.0x4 NVMe
","
Integrated 36Wh
","
720p with Privacy Shutter
","
2.2 kg (4.8 lbs)
",44000,Normal
49,Lenovo,"
AMD Ryzen 3 3250U (2C / 4T, 2.6 / 3.5GHz, 1MB L2 / 4MB L3)
","
Integrated AMD Radeon Graphics
","
8GB SO-DIMM DDR4-2400
","
15.6"" FHD (1920x1080) TN 220nits Anti-glare
","
256GB SSD M.2 2242 PCIe 3.0x4 NVMe
","
Integrated 42Wh
","
HD 720p with Privacy Shutter
","
Around 1.6 kg (3.53 lbs)
",52000,Normal
50,Lenovo,"
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB)
","
Integrated Intel UHD Graphics
","
4GB Soldered DDR4-2933 + 4GB SO-DIMM DDR4-2933
","
15.6"" FHD (1920x1080) TN 220nits Anti-glare
","
256GB SSD M.2 2242 PCIe 3.0x4 NVMe
","
Integrated 36Wh
","
HD 720p with Privacy Shutter
","
2.2 kg (4.8 lbs)
",58000,Normal
51,Lenovo,"
Intel® Core™ i3-1305U, 5C (1P + 4E) / 6T, P-core 1.6 / 4.5Ghz, E-core 1.2 / 3.3Ghz, 10MB
","
Integrated Intel® UHD Graphics
","
8GB Soldered LPDDR5-4800
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
","
Integrated 47Wh
","
720p with Privacy Shutter
",1.65kg,58000,Normal
52,Lenovo,"
AMD Ryzen 3 7320U (4C / 8T, 2.4 / 4.1GHz, 2MB L2 / 4MB L3)
","
Integrated AMD Radeon 610M Graphics
","
8GB Soldered LPDDR5-5500
","
14"" FHD (1920x1080) TN 220nits Anti-glare
","
256GB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 42Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.38 kg (3.04 lbs)
",59900,"
Slim and light Ultrabook
"
53,Lenovo,"
AMD Ryzen 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)
","
Integrated AMD Radeon 610M Graphics
","
8GB Soldered LPDDR5-5500
","
14"" FHD (1920x1080) TN 220nits Anti-glare
","
256GB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 42Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.38 kg (3.04 lbs)
",64000,Normal
54,Lenovo,"
AMD Ryzen™ 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)
","
Integrated AMD Radeon™ 610M Graphics
","
8GB Soldered LPDDR5-5500
","
14"" FHD (1920x1080) TN 220nits Anti-glare
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
","
Integrated 42Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.38 kg (3.04 lbs)
",68000,Normal
55,Lenovo,"
AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)
","
Integrated AMD Radeon Graphics
","
4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC
","
256GB SSD M.2 2242 PCIe 3.0x4 NVMe
","
Integrated 45Wh
","
720p with Privacy Shutter
","
1.65 kg (3.64 lbs)
",74000,Normal
56,Lenovo,"
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB)
","
Integrated Intel Iris Xe Graphics functions as UHD Graphics
","
4GB Soldered DDR4-2933 + 4Gb Additional 
","
15.6"" FHD (1920x1080) IPS 250nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 36Wh
","
720p with Privacy Shutter
","
2.2 kg (4.8 lbs)
",75000,"
Budget Ultrabook
"
57,Lenovo,"
AMD Ryzen™ 5 5600U (6C / 12T, 2.3 / 4.2GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
8GB Soldered LPDDR4x-4266
","
13.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB, Dolby® Vision™
","
256GB SSD M.2 2242 PCIe® 3.0x4 NVMe®
","
Integrated 56Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.26 kg (2.78 lbs)
",80000,Normal
58,Lenovo,"
AMD Ryzen 5 5625U (6C / 12T, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
8GB Soldered DDR4-3200
","
14"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 45Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.43 kg (3.15 lbs)
",83000,Budget Notebook
59,Lenovo,"
AMD Ryzen 5 5625U (6C / 12T, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
8GB Soldered DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe
","
Integrated 45Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.7 kg (3.75 lbs)
",83000,Budget Notebook
60,Lenovo,"
AMD Ryzen 5 5625U (6C / 12T, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.63 kg (3.59 lbs)
",85000,"
Budget Notebook
"
61,Lenovo,"
Intel Core i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","
Integrated Intel Iris Xe Graphics functions as UHD Graphics
","
8GB Soldered DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.63 kg (3.59 lbs)
",88000,Normal
62,Lenovo,"
Intel Core i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","
Integrated Intel Iris Xe Graphics functions as UHD Graphics
","
8GB Soldered DDR4-3200
","
14"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.43 kg (3.15 lbs)
",88000,Normal
63,Lenovo,"
Intel® Core™ i5-1145G7 (4C / 8T, 2.6 / 4.4GHz, 8MB)
","
Integrated Intel® Iris® Xe Graphics
","
16GB Soldered DDR4-3200
",15.6,"
512GB SSD M.2 2280 PCIe® 3.0x4 NVMe® Opal 2.0
","
Integrated 46Wh
","
Front HD 720p + IR Hybrid with Privacy Shutter / Rear 5.0MP
",1.65kg,95000,Normal
64,Lenovo,"
AMD Ryzen 5 5625U (6C / 12T, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
16GB Soldered DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
1TB SSD M.2 2280 PCIe 4.0x4 NVMe
","
Integrated 57Wh
",720p,"
Around 1.85 kg (4.08 lbs)
",99000,"
Budget Notebook
"
65,Lenovo,"
AMD Ryzen 7 5825U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200
","
14"" IPS display; Full-HD (1920 x 1080 pixels) resolution; 300nits brightness; Anti-glare panel
","
512GB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.43 kg (3.15 lbs)
",100000,Normal
66,Lenovo,"
AMD Ryzen 7 5825U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
512GB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.63 kg (3.59 lbs)
",102000,Normal
67,Lenovo,"
AMD Ryzen™ 5 7530U (6C / 12T, 2.0 / 4.5GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
16GB Soldered DDR4-3200
","
16"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, TÜV Low Blue Light
","
1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®
","
Integrated 75.4Wh
","
FHD 1080p + IR with Privacy Shutter, ToF Sensor
","
Starting at 1.89 kg (4.17 lbs)
",104000,Normal
68,Lenovo,"
Intel® Core™ i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics Functions as UHD Graphics
","
8GB Soldered DDR4-3200
","
14"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 57Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.59 kg (3.51 lbs)
",106000,Normal
69,Lenovo,"
Intel Core i5-11300H (4C / 8T, 3.1 / 4.4GHz, 8MB)
","
Integrated Intel Iris Xe Graphics
","
16GB Soldered LPDDR4x-4266
","
14"" 2.8K (2880x1800) OLED 400nits Glossy, 100% DCI-P3, 90Hz, DisplayHDR™ True Black 500, Dolby® Vision™, Glass
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 61Wh
","
HD 720p + IR, ToF Sensor
","
Around 1.38 kg (3.04 lbs)
",109000,"
Thin and Light Ultrabook
"
70,Lenovo,"11th Gen Intel Core i5-1135G7 processor; (4 Cores / 8 Threads, 2.4 - 4.2GHz, 8MB)",Integrated Intel Iris Xe Graphics,8GB Soldered DDR4-3200MHz,"15.6-inch Full-HD (1920 x 1080 pixels) IPS display; 250nits brightness; Glossy, 45% NTSC, AGC Soda-lime glass",256GB SSD,"
4 Cell Li-Polymer
",720p,1.9KG,112000,Normal
71,Lenovo,"
Intel Core i5-10300H (4C / 8T, 2.5 / 4.5GHz, 8MB)
","
NVIDIA GeForce GTX 1650 Ti Max-Q 4GB GDDR6
","
1x 16GB SO-DIMM DDR4-2933
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB
","
512GB SSD M.2 2242 PCIe 3.0x4 NVMe
","
Integrated 57Wh
","
720p with ThinkShutter
","
Around 1.9 kg (4.19 lbs)
",115000,Normal
72,Lenovo,"
AMD Ryzen 5 PRO 4650U Processor (2.10GHz, up to 4.00GHz Max Boost, 6 Cores, 12 Threads, 8MB Cache)
",AMD Radeon Graphics,16GB DDR4-3200 DDR4 SDRAM Onboard 3200MHz,13.3-inch IPS display; Full-HD (1920 x 1080 pixels); 72% color gamut (Color Coverage Close to 100% sRGB); AntiGlare Narrow Bezel  LED Backlight ,"512GB SSD, M.2 2280, PCIe Gen3x4, OPAL2.0, TLC",6 Cell 48Wh Li-Polymer; Up to 13 hours battery life,720p,1.28Kg,115000,Normal
73,Lenovo,"
12th Generation Intel Core i5-1240P Processor (E-cores up to 3.30 GHz P-cores up to 4.40 GHz)
","
Integrated Intel Iris Xe Graphics
",16GB,15.6,"
512GB SSD M.2 2242 PCIe 4.0x4 NVMe
",,"
FHD 1080p + IR with Privacy Shutter, ToF Sensor
",1.65kg,116000,"
Thin and Light Ultrabook
"
74,Lenovo,"
AMD Ryzen 7 5825U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
16GB Soldered DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
1TB SSD M.2 2280 PCIe 4.0x4 NVMe
","
Integrated 57Wh
",720p,"
Around 1.85 kg (4.08 lbs)
",117000,"
Budget Notebook
"
75,Lenovo,"
AMD Ryzen 5 5600H (6C / 12T, 3.3 / 4.2GHz, 3MB L2 / 16MB L3)
","
NVIDIA GeForce RTX 3050 Ti 4GB GDDR6, Boost Clock 1485 / 1695MHz, TGP 95W
","
1x 8GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) IPS 250nits Anti-glare, 45% NTSC, 120Hz, FreeSync
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 60Wh
","
HD 720p with E-shutter
","
Around 2.4 kg (5.3 lbs)
",118000,Normal
76,Lenovo,"
Intel Core i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB
","
Integrated Intel Iris Xe Graphics
","
8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare
","
1TB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 38Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.63 kg (3.59 lbs)
",118000,"
Budget Notebook
"
77,Lenovo,"
AMD Ryzen™ 7 5825U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
16GB Soldered DDR4-3200
","
14"" FHD (1920x1080) IPS 300nits Anti-glare
","
1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®
","
Integrated 56.5Wh
","
FHD 1080p with Privacy Shutter
","
Around 1.39 kg (3.06 lbs)
",118000,Normal
78,Lenovo,"
AMD Ryzen 7 7730U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon Graphics
","
16GB Soldered DDR4-3200
","
14"" WUXGA (1920 x 1200 pixels) IPS 300nits Anti-glare, 45% NTSC, TÜV Low Blue Light
","
1TB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 56.6Wh
","
FHD 1080p + IR with Privacy Shutter, ToF Sensor
","
Starting at 1.46 kg (3.22 lbs)
",123000,Normal
79,Lenovo,"
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB)
","
Integrated Intel Iris Xe Graphics functions as UHD Graphics
","
1x 16GB SO-DIMM DDR4-3200
","
14"" FHD (1920x1080) IPS 250nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe Opal
","
Integrated 45Wh
","
IR & HD 720p with Privacy Shutter
","
Starting at 1.59 kg (3.49 lbs)
",129000,Normal
80,Lenovo,"
AMD Ryzen™ 7 5825U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon™ Graphics
","
8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200
","
14"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 57Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.64 kg (3.62 lbs)
",130000,Budget Notebook
81,Lenovo,"
Intel Core i5-1240P, 12C (4P + 8E) / 16T, P-core 1.7 / 4.4GHz, E-core 1.2 / 3.3GHz, 12MB
","
Integrated Intel Iris Xe Graphics
",16GB,15.6,"
512GB SSD M.2 2280 PCIe 4.0x4 NVMe
",,"
HD 720p + IR with E-shutter, ToF Sensor
",1.65kg,135000,"
Thin and Light Ultrabook
"
82,Lenovo,"
AMD Ryzen 5 PRO 6650U (6C / 12T, 2.9 / 4.5GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ 660M Graphics
","
16GB Soldered LPDDR5-6400
","
13.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 72% NTSC
","
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 54.7Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.31 kg (2.88 lbs)
",138000,Notebook
83,Lenovo,"
Intel® Core™ i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics
","
2x 8GB SO-DIMM DDR4-3200
","
14"" FHD (1920x1080) IPS 250nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 57Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.39 kg (3.06 lbs)
",139000,Normal
84,Lenovo,"
AMD Ryzen 5 PRO 6650U (6C / 12T, 2.9 / 4.5GHz, 3MB L2 / 16MB L3)
","
Integrated AMD Radeon™ 660M Graphics
",12GB,"
14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2280 PCIe 4.0x4 NVMe Opal 2.0
","
Integrated 57Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.23 kg (2.71 lbs)
",144000,Notebook
85,Lenovo,"
Intel® Core™ i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB
",Integrated Intel® Iris® Xe Graphics,12GB,15.6,"
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe®
","
Integrated 60Wh
","
FHD 1080p with Privacy Shutter
",1.65kg,145000,Normal
86,Lenovo,"
Intel Core i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB
","
Integrated Intel Iris Xe Graphics
","
16GB Soldered LPDDR4x-4266
","
16"" WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch
","
1TB SSD M.2 2242 PCIe 4.0x4 NVMe
","
Integrated 52.5Wh
","
FHD 1080p with Privacy Shutter
","
Around 2.1 kg (4.63 lbs)
",148000,"
2-in-1 Convertible Laptop
"
87,Lenovo,"
AMD Ryzen 7 5800H (8C / 16T, 3.2 / 4.4GHz, 4MB L2 / 16MB L3)
","
NVIDIA GeForce RTX 3050 Ti 4GB GDDR6, Boost Clock 1485 / 1695MHz, TGP 95W
",12GB,"
15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision, FreeSync, G-SYNC
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 60Wh
","
HD 720p with E-shutter
","
Around 2.4 kg (5.3 lbs)
",149000,Normal
88,Lenovo,"
Intel® Core™ i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics
",12GB,"
13.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 46Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.26 kg (2.78 lbs)
",149000,Normal
89,Lenovo,"
Intel® Core™ i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics
",12GB,"
14"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 57Wh
","
HD 720p with Privacy Shutter
","
Starting at 1.59 kg (3.51 lbs)
",149000,Normal
90,Lenovo,"
Intel Core i7-1260P, 12C (4P + 8E) / 16T, P-core 2.1 / 4.7GHz, E-core 1.5 / 3.4GHz, 18MB
","
Integrated Intel Iris Xe Graphics
",12GB,15.6,"
1TB SSD M.2 2242 PCIe 4.0x4 NVMe
",,"
FHD 1080p + IR with Privacy Shutter, ToF Sensor
",1.65kg,149000,"
Thin and Light Ultrabook
"
91,Lenovo,"
Intel® Core™ i5-1240P, 12C (4P + 8E) / 16T, P-core 1.7 / 4.4GHz, E-core 1.2 / 3.3GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics Functions as UHD Graphics
",12GB,"
14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0
","
Integrated 52.5Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
",1.65kg,149500,Normal
92,Lenovo,"
Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB)
","
Integrated Intel Iris Xe Graphics functions as UHD Graphics
","
1x 16GB SO-DIMM DDR4-3200
","
14"" FHD (1920x1080) IPS 250nits Anti-glare
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe Opal
","
Integrated 45Wh
","
IR & HD 720p with Privacy Shutter
","
Starting at 1.59 kg (3.49 lbs)
",155000,Normal
93,Lenovo,"
AMD Ryzen™ 7 6800HS Creator Edition (8C / 16T, 3.2 / 4.7GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon™ 680M Graphics
",12GB,"
14"" 2.8K (2880x1800) IPS 400nits Anti-glare, 100% sRGB, 90Hz, Eyesafe®, Dolby® Vision™
","
1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®
","
Integrated 61Wh
","
FHD 1080p + IR, ToF Sensor
","
Around 1.34 kg (2.95 lbs)
",155000,Normal
94,Lenovo,"
AMD Ryzen™ 7 6800HS Creator Edition (8C / 16T, 3.2 / 4.7GHz, 4MB L2 / 16MB L3)
","
NVIDIA® GeForce RTX™ 3050 Ti 4GB GDDR6
",12GB,"
16"" 2.5K (2560x1600) IPS 350nits Anti-glare, 100% sRGB, TÜV Low Blue Light
","
1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®
","
Integrated 75Wh
","
FHD 1080p + IR, ToF Sensor
","
Around 1.95 kg (4.30 lbs)
",159000,Normal
95,Lenovo,"
Intel Core i7-12700H, 14C (6P + 8E) / 20T, P-core 2.3 / 4.7GHz, E-core 1.7 / 3.5GHz, 24MB
","
NVIDIA GeForce RTX 3060 6GB GDDR6, Boost Clock 1642MH, TGP 105W
","
1x 16GB SO-DIMM DDR4-3200
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 165Hz
","
512GB SSD M.2 2280 PCIe 3.0x4 NVMe
","
Integrated 60Wh
","
HD 720p with Privacy Shutter
","
Around 2.315 kg (5.1 lbs)
",159500,"
Gaming Laptop
"
96,Lenovo,"
AMD Ryzen 7 6800H (8C / 16T, 3.2 / 4.7GHz, 4MB L2 / 16MB L3)
","
NVIDIA GeForce RTX 3050 Ti 4GB GDDR6, Boost Clock 1695MHz, TGP 95W
","
2x 8GB SO-DIMM DDR5-4800
","
15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, FreeSync, G-SYNC, DC dimmer
","
512GB SSD M.2 2280 PCIe 4.0x4 NVMe
","
Integrated 80Wh
","
FHD 1080p with E-camera Shutter
","
Around 2.35 kg (5.18 lbs)
",163000,Normal
97,Lenovo,"
AMD Ryzen™ 7 PRO 6850U (8C / 16T, 2.7 / 4.7GHz, 4MB L2 / 16MB L3)
","
Integrated AMD Radeon™ 680M Graphics
",12GB,"
14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 52.5Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.498 kg (3.30 lbs)
",169000,Notebook
98,Lenovo,"
Intel® Core™ i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB
","
Integrated Intel® Iris® Xe Graphics
",12GB,"
13.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC
","
512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0
","
Integrated 46Wh
","
FHD 1080p + IR Hybrid with Privacy Shutter
","
Starting at 1.26 kg (2.78 lbs)
",169000,Normal
